"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW70,SW81,SW19,SW66,SW65,SW33,SW56,SW3,SW77,SW11,SW15,SW29,SW32,SW44,SW40,SW71,SW30,SW1,SW12,SW47,SW73,SW54,SW74,SW59,SW26,SW23,SW37,SW2,SW43,SW36,SW20,SW69,SW4,SW46,SW18,SW50,SW53,SW67,SW35,SW38,SW17,SW60,SW28,SW21,SW68,SW41,SW55,SW58,SW64,SW63,SW13,SW39,SW61,SW48,SW82,SW52,SW25,SW24,SW76,SW7,SW75,SW42,SW83,SW49,SW9,SW84,SW6,SW78,SW22,SW80,SW16,SW8,SW34,SW62,SW31,SW79,SW5,SW14,SW10,SW51,SW27,SW45,SW72,SW57";"SW_Cherry_MX_PCB_1.00u";84;"SW_Push_45deg";;;
2;"S6";"STAB_MX_P_2u";1;"MX_stab";;;
3;"S2";"STAB_MX_P_2.25u";1;"MX_stab";;;
4;"S5";"STAB_MX_2u";1;"MX_stab";;;
5;"S7";"STAB_MX_2.25u";1;"MX_stab";;;
6;"S1";"STAB_MX_P_6.25u";1;"MX_stab";;;
7;"U2";"VSSOP-8_2.3x2mm_P0.5mm";1;"74LVCH2T45DC";;;
8;"LED81,LED30,LED64,LED1,LED58,LED17,LED39,LED36,LED47,LED24,LED80,LED20,LED31,LED68,LED23,LED7,LED63,LED2,LED70,LED26,LED73,LED5,LED67,LED3,LED85,LED25,LED62,LED18,LED69,LED41,LED13,LED9,LED46,LED48,LED53,LED86,LED38,LED42,LED44,LED14,LED71,LED83,LED11,LED12,LED15,LED76,LED72,LED84,LED32,LED29,LED37,LED51,LED59,LED79,LED28,LED56,LED8,LED19,LED65,LED35,LED57,LED10,LED60,LED43,LED34,LED61,LED27,LED16,LED87,LED50,LED45,LED54,LED40,LED22,LED4,LED6,LED82,LED74,LED78,LED21,LED49,LED75,LED33,LED52";"LED_6028R";84;"SK6812MINI-E";;;
9;"D77,D49,D82,D24,D37,D76,D83,D3,D81,D58,D72,D56,D40,D10,D45,D53,D20,D16,D28,D70,D1,D52,D38,D19,D11,D41,D50,D34,D9,D64,D22,D23,D47,D12,D43,D80,D2,D14,D17,D67,D7,D5,D71,D42,D78,D73,D68,D57,D33,D4,D65,D69,D13,D66,D27,D36,D74,D32,D15,D6,D84,D31,D8,D18,D61,D39,D46,D48,D30,D55,D35,D62,D60,D51,D59,D29,D25,D63,D21,D26,D44,D79,D75,D54";"D_0201_0603Metric";84;"D";;;
10;"R7,R6";"Resistor_0402";2;"5.1k";;;
11;"C10,C7,C3,C1,C2";"Capacitor_0402";5;"100nF";;;
12;"J1";"USB_C_HRO_TYPE-C-31-M-12";1;"USB_C";;;
13;"U3";"ESD_SOT-23-6";1;"USBLC6-2SC6";;;
14;"C8";"Capacitor_0402";1;"10nF";;;
15;"U1";"Package_LQFP-48_7x7mm_P0.5";1;"STM32F072CBT6";;;
16;"C12,C9,C13";"Capacitor_0402";3;"1uF";;;
17;"C11,C6";"Capacitor_0402";2;"4.7uF";;;
18;"U4";"Voltage_SOT-23";1;"XC6206";;;
19;"R5";"Resistor_0402";1;"10k";;;
20;"F1";"Fuse_0603";1;"500mA";;;
21;"SW343";"Button_TL3342";1;"SW_Push";;;
